ls_cost,ls_amount
4.60461e8,4.5
4.6146198e8,4.5
4.62463e8,4.5
4.63464e8,4.5
4.64465e8,4.5
4.65466e8,4.5
4.66467e8,4.5
4.67468e8,4.5
4.68469e8,4.5
4.6947e8,4.5
4.70471e8,4.5
4.71472e8,4.5
4.72473e8,4.5
4.73474e8,4.5
4.74475e8,4.5
4.75476e8,4.5
4.76477e8,4.5
4.77478e8,4.5
4.78479e8,4.5
4.7948e8,4.5
4.80481e8,4.5
4.81482e8,4.5
4.82483e8,4.5
4.83484e8,4.5
4.84485e8,4.5
4.85486e8,4.5
4.86487e8,4.5
4.87488e8,4.5
4.88489e8,4.5
4.8949e8,4.5
4.90491e8,4.5
4.91492e8,4.5
4.92493e8,4.5
4.93494e8,4.5
4.94495e8,4.5
4.95496e8,4.5
4.96497e8,4.5
4.97498e8,4.5
4.98499e8,4.5
4.995e8,4.5
5.00501e8,4.5
5.01502e8,4.5
5.02503e8,4.5
5.03504e8,4.5
5.04505e8,4.5
5.0550602e8,4.5
5.06507e8,4.5
5.07508e8,4.5
5.08509e8,4.5
5.0950998e8,4.5
5.10511e8,4.5
5.11512e8,4.5
5.12513e8,4.5
5.13514e8,4.5
5.14515e8,4.5
5.15516e8,4.5
5.16517e8,4.5
5.17518e8,4.5
5.18519e8,4.5
5.1952e8,4.5
5.20521e8,4.5
5.21522e8,4.5
5.22523e8,4.5
5.23524e8,4.5
5.24525e8,4.5
5.25526e8,4.5
5.26527e8,4.5
5.27528e8,4.5
5.28529e8,4.5
5.2953e8,4.5
5.30531e8,4.5
5.31532e8,4.5
5.32533e8,4.5
5.33534e8,4.5
5.34535e8,4.5
5.35536e8,4.5
5.36537e8,4.5
5.37538e8,4.5
5.38539e8,4.5
5.3954e8,4.5
5.40541e8,4.5
5.41542e8,4.5
5.42543e8,4.5
5.43544e8,4.5
5.44545e8,4.5
5.45546e8,4.5
5.46547e8,4.5
5.47548e8,4.5
5.48549e8,4.5
5.4955e8,4.5
5.50551e8,4.5
5.51552e8,4.5
5.52553e8,4.5
5.53554e8,4.5
5.54555e8,4.5
5.55556e8,4.5
5.56557e8,4.5
5.57558e8,4.5
5.58559e8,4.5
5.5956e8,4.5
5.60561e8,4.5
5.61562e8,4.5
5.62563e8,4.5
5.6356397e8,4.5
5.64565e8,4.5
5.65566e8,4.5
5.66567e8,4.5
5.67568e8,4.5
5.68569e8,4.5
5.6957e8,4.5
5.70571e8,4.5
5.71572e8,4.5
5.72573e8,4.5
5.73574e8,4.5
5.74575e8,4.5
5.75576e8,4.5
5.76577e8,4.5
5.77578e8,4.5
5.78579e8,4.5
5.7958e8,4.5
5.80581e8,4.5
5.81582e8,4.5
5.82583e8,4.5
5.83584e8,4.5
5.84585e8,4.5
5.85586e8,4.5
5.86587e8,4.5
5.87588e8,4.5
5.88589e8,4.5
5.8959e8,4.5
5.90591e8,4.5
5.91592e8,4.5
5.92593e8,4.5
5.93594e8,4.5
5.94595e8,4.5
5.95596e8,4.5
5.96597e8,4.5
5.97598e8,4.5
5.98599e8,4.5
5.996e8,4.5
6.00601e8,4.5
6.01602e8,4.5
6.02603e8,4.5
6.03604e8,4.5
6.04605e8,4.5
6.05606e8,4.5
6.06607e8,4.5
6.07608e8,4.5
6.08609e8,4.5
6.0961e8,4.5
6.10611e8,4.5
6.11612e8,4.5
6.12613e8,4.5
